Rank,Player,Wins,Losses,yElo
81,Ugo Blanchet (https://www.tennisabstract.com/cgi-bin/player.cgi?p=UgoBlanchet),8,4,1675.8
82,Mariano Navone (https://www.tennisabstract.com/cgi-bin/player.cgi?p=MarianoNavone),6,7,1673.9
83,Liam Draxl (https://www.tennisabstract.com/cgi-bin/player.cgi?p=LiamDraxl),12,5,1673.1
84,Kei Nishikori (https://www.tennisabstract.com/cgi-bin/player.cgi?p=KeiNishikori),5,5,1669.2
85,Murphy Cassone (https://www.tennisabstract.com/cgi-bin/player.cgi?p=MurphyCassone),14,7,1669.2
86,Frances Tiafoe (https://www.tennisabstract.com/cgi-bin/player.cgi?p=FrancesTiafoe),4,4,1664.4
87,Cameron Norrie (https://www.tennisabstract.com/cgi-bin/player.cgi?p=CameronNorrie),5,6,1661.6
88,Francisco Comesana (https://www.tennisabstract.com/cgi-bin/player.cgi?p=FranciscoComesana),7,7,1656.4
89,Mark Lajal (https://www.tennisabstract.com/cgi-bin/player.cgi?p=MarkLajal),6,3,1655.9
90,Andrea Vavassori (https://www.tennisabstract.com/cgi-bin/player.cgi?p=AndreaVavassori),6,3,1655.4
91,Nikoloz Basilashvili (https://www.tennisabstract.com/cgi-bin/player.cgi?p=NikolozBasilashvili),7,4,1648.3
92,Kamil Majchrzak (https://www.tennisabstract.com/cgi-bin/player.cgi?p=KamilMajchrzak),7,4,1647.6
93,Alejandro Moro Canas (https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlejandroMoroCanas),8,5,1646.5
94,Marat Sharipov (https://www.tennisabstract.com/cgi-bin/player.cgi?p=MaratSharipov),6,3,1646.4
95,Valentin Royer (https://www.tennisabstract.com/cgi-bin/player.cgi?p=ValentinRoyer),11,5,1646.3
96,Cristian Garin (https://www.tennisabstract.com/cgi-bin/player.cgi?p=CristianGarin),6,5,1644.4
97,Jaime Faria (https://www.tennisabstract.com/cgi-bin/player.cgi?p=JaimeFaria),9,8,1643.2
